Price,Rooms,Area,Year,Heating
680000,3+2,150,0,Kombi
365000,1+1,56,0,Kombi
800000,4+1,180,0,Kombi
225000,2+1,70,15,Kombi
350000,3+1,90,25,Kombi
350000,2+1,82,1,Kombi
570000,2+1,85,0,Kombi
260000,2+1,85,30,Kombi
330000,2+1,80,1,Kombi
590000,3+1,150,13,Kombi
315000,2+1,75,25,Merkezi
235000,1+1,60,25,Kombi
210000,2+1,60,20,Kombi
590000,3+1,150,13,Kombi
295000,1+1,55,35,Kombi
570000,2+1,80,1,Kombi
260000,2+1,80,20,Kombi
350000,2+1,85,7,Kombi
800000,3+1,125,0,Kombi
760000,3+1,130,35,Merkezi
350000,2+1,100,0,Kombi
190000,1+1,60,30,Kombi
300000,2+1,90,30,Kombi
245000,2+1,85,4,Kombi
375000,2+1,75,30,Kombi
570000,2+1,75,1,Kombi
300000,3+1,110,0,Kombi
315000,3+1,120,0,Kombi
450000,2+1,80,35,Kombi
475000,3+1,130,25,Kombi
350000,3+1,100,20,Kombi
590000,3+1,150,12,Kombi
210000,1+1,65,25,Kombi
365000,2+1,85,30,Kombi
500000,4+1,160,30,Kombi
595000,3+1,140,10,Kombi
320000,2+1,85,35,Kombi
365000,3+1,140,30,Kombi
400000,2+1,80,15,Kombi
210000,2+1,70,35,Soba
750000,3+1,140,0,Kombi
380000,5+4,160,35,Kombi
500000,3+1,120,30,Kombi
690000,3+1,150,0,Kombi
175000,1+1,55,20,Kombi
790000,3+1,140,10,Kombi
1000000,4+2,150,15,Kombi
440000,2+1,75,16,Kombi
250000,1+1,75,16,Kombi
350000,2+1,80,7,Kombi
250000,2+1,85,4,Kombi
340000,1+1,60,0,Kombi
235000,1+1,60,25,Kombi
295000,2+1,80,30,Kombi
440000,2+1,85,5,Kombi
420000,2+1,75,5,Kombi
190000,1+1,65,30,Kombi
430000,2+1,90,25,Kombi
325000,2+1,60,40,Kombi
190000,1+1,65,25,Kombi
650000,2+1,90,0,Kombi
780000,3+1,135,29,Merkezi
310000,1+1,85,25,Kombi
400000,3+1,100,25,Kombi
230000,1+1,65,30,Kombi
625000,2+1,50,40,Kombi
350000,2+1,70,30,Kombi
150000,1+1,50,20,Kombi
285000,2+1,70,20,Kombi
330000,2+1,90,40,Kombi
730000,4+1,130,35,Kombi
570000,2+1,90,2,Kombi
295000,2+1,95,25,Kombi
650000,2+1,95,0,Kombi
420000,2+1,95,25,Kombi
340000,3+1,120,35,Soba
500000,2+1,75,0,Kombi
300000,1+1,65,30,Kombi
470000,2+1,130,15,Kombi
265000,1+1,80,30,Kombi
190000,1+1,54,35,Kombi
250000,2+1,85,0,Kombi
350000,2+1,80,40,Kombi
760000,2+1,90,30,Kombi
480000,3+1,145,20,Kombi
350000,2+1,120,22,Merkezi(PayÖlçer)
425000,3+1,140,30,Kombi
390000,2+1,90,25,Kombi
185000,2+1,75,25,Kombi
800000,4+1,150,0,Kombi
550000,3+1,120,0,Kombi
445000,2+1,90,25,Kombi
550000,2+1,250,40,Kombi
795000,3+1,145,0,Kombi
300000,2+1,70,30,Kombi
450000,2+1,85,30,Kombi
307000,2+1,70,5,Kombi
350000,3+1,110,14,Kombi
315000,1+1,70,30,Kombi
150000,1+1,40,20,Kombi
340000,2+1,80,0,Kombi
550000,3+1,130,30,Merkezi
300000,2+1,90,31,Kombi
250000,2+1,70,20,Kombi
790000,3+1,130,0,Kombi
575000,2+1,100,30,Kombi
450000,2+1,80,35,Kombi
300000,1+1,70,30,Kombi
450000,4+1,150,0,Kombi
365000,2+1,85,30,Kombi
260000,1+1,45,30,Yok
175000,1+1,60,20,Kombi
450000,4+1,130,0,Kombi
460000,3+1,130,40,Kombi
215000,1+1,60,5,Kombi
785000,3+1,110,49,Kombi
340000,1+1,60,0,Kombi
325000,1+1,80,35,Kombi
165000,1+1,65,30,Yok
525000,3+1,120,40,Kombi
330000,1+1,80,30,Kombi
600000,1+1,200,40,Kombi
410000,2+1,100,25,Kombi
300000,2+1,70,1,Kombi
80000,2+1,75,20,Kombi
800000,4+1,160,0,Kombi
530000,2+1,90,30,Kombi
1500000,10+5,360,15,Kombi
500000,2+1,100,5,Kombi
695000,2+1,115,7,Kombi
2400000,1+1,440,0,Kombi
200000,2+1,80,6,Kombi
410000,2+1,75,30,Kombi
350000,2+1,80,40,Kombi
920000,4+2,180,1,Kombi
350000,1+1,65,0,Kombi
435000,4+1,150,31,Kombi
325000,2+1,60,20,Kombi
700000,2+1,100,25,Kombi
200000,1+1,50,30,Yok
420000,2+1,85,12,Kombi
230000,2+1,80,30,Kombi
355000,2+1,85,20,Kombi
280000,3+1,120,0,Kombi
300000,2+1,70,1,Kombi
725000,3+2,150,5,Kombi
510000,2+1,80,40,Kombi
400000,3+1,110,35,Kombi
295000,2+1,90,35,Kombi
410000,2+1,95,0,Kombi
465000,4+2,160,3,Kombi
300000,2+1,90,40,Yok
375000,2+1,90,35,Kombi
269000,2+1,55,21,Kombi
490000,3+1,145,14,Kombi
400000,2+1,70,0,Kombi
500000,2+1,90,4,Kombi
825000,3+1,135,0,Kombi
350000,2+1,110,30,Kombi
430000,2+1,80,30,Kombi
490000,4+2,140,0,Kombi
350000,1+1,85,31,Kombi
235000,2+1,140,30,Kombi
325000,2+1,85,27,Kombi
220000,1+1,50,35,Yok
1200000,1+1,80,70,Yok
350000,2+1,80,2,Kombi
250000,2+1,85,4,Kombi
780000,3+1,135,30,Merkezi
850000,3+1,120,0,Kombi
850000,3+1,120,1,Kombi
365000,2+1,85,35,Kombi
830000,4+1,197,31,Merkezi
235000,2+1,75,20,Kombi
600000,2+1,90,4,Kombi
350000,2+1,100,0,Kombi
550000,3+1,110,30,Merkezi
500000,2+1,85,0,Kombi
345000,2+1,80,0,Kombi
600000,4+1,180,30,Kombi
315000,31+1,110,0,Kombi
440000,3+1,120,30,Merkezi
360000,2+1,85,2,Kombi
770000,3+2,160,17,Kombi
550000,3+1,130,30,Merkezi
350000,2+1,80,5,Kombi
355000,2+1,90,35,Kombi
1499999,1+1,55,6,Kombi
200000,2+1,70,20,Kombi
440000,3+1,130,30,Kombi
510000,4+1,140,25,Kombi
350000,2+1,80,0,Kombi
350000,2+1,85,3,Kombi
170000,1+1,65,6,Kombi
250000,1+1,50,30,Kombi
430000,2+1,80,15,Kombi
280000,2+1,75,12,KatKaloriferi
420000,2+1,110,8,Kombi
1450000,3+1,120,35,Kombi
500000,2+1,90,0,Kombi
560000,3+1,130,40,Kombi
220000,2+2,120,25,Kombi
430000,2+1,90,30,Kombi
575000,3+1,110,8,Kombi
335000,1+1,60,30,Kombi
300000,1+1,65,35,Kombi
295000,2+1,85,18,Kombi
190000,1+1,65,35,Kombi
2400000,2+1,80,20,Kombi
450000,3+1,115,30,Kombi
240000,1+1,75,30,Soba
210000,1+1,75,25,Kombi
430000,2+1,90,30,Kombi
430000,2+1,90,25,Kombi
380000,2+1,90,30,Kombi
450000,2+1,150,30,Kombi
285000,2+1,75,25,Kombi
370000,2+1,90,20,Kombi
280000,2+1,90,80,Kombi
650000,2+1,76,0,Kombi
200000,2+1,70,20,Kombi
435000,2+1,90,20,Kombi
135000,1+1,70,17,Kombi
265000,2+1,120,2,Kombi
260000,2+1,80,25,Kombi
825000,3+1,130,0,Kombi
230000,1+1,65,30,Kombi
345000,2+1,75,0,Kombi
850000,3+1,160,30,Kombi
240000,1+1,70,30,Kombi
350000,1+1,57,3,Kombi
460000,2+1,95,39,Kombi
450000,2+1,90,3,Kombi
375000,2+1,75,8,Kombi
350000,1+1,60,2,Kombi
735000,2+1,100,40,Kombi
890000,3+3,60,35,Kombi
185000,1+1,60,30,Kombi
370000,2+1,85,25,Kombi
690000,3+1,140,20,Kombi
400000,2+1,90,40,Kombi
560000,3+1,156,30,Kombi
235000,1+1,70,30,Kombi
220000,1+1,70,25,Kombi
180000,1+1,50,30,Belirtilmemiş
360000,3+1,130,8,Kombi
359000,2+1,75,35,Kombi
